site_id,sensor_id,datetime_local,species_common,species_scientific,confidence,start_time_sec,end_time_sec,file_name,date,hour,minute,call_duration
3,7901,2025-02-04 01:00:00,Eurasian Tree Sparrow,Passer montanus,0.804185688495636,231.0,234.0,3_S7901_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
3,7901,2025-02-04 01:00:00,Eurasian Tree Sparrow,Passer montanus,0.8334799408912659,234.0,237.0,3_S7901_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
3,7901,2025-02-04 01:00:00,Eurasian Tree Sparrow,Passer montanus,0.5755242109298706,237.0,240.0,3_S7901_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
3,7901,2025-02-04 01:00:00,Eurasian Tree Sparrow,Passer montanus,0.5547752380371094,240.0,243.0,3_S7901_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
3,7901,2025-02-04 01:00:00,Eurasian Tree Sparrow,Passer montanus,0.907665491104126,243.0,246.0,3_S7901_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
1,7899,2025-02-04 01:00:00,House Sparrow,Passer domesticus,0.2505163848400116,249.0,252.0,1_S7899_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
3,7901,2025-02-04 01:00:00,Eurasian Tree Sparrow,Passer montanus,0.6869431138038635,249.0,252.0,3_S7901_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
3,7901,2025-02-04 01:00:00,Plain-backed Sparrow,Passer flaveolus,0.31338217854499817,249.0,252.0,3_S7901_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
3,7901,2025-02-04 01:00:00,Plain-backed Sparrow,Passer flaveolus,0.6934777498245239,252.0,255.0,3_S7901_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
3,7901,2025-02-04 01:00:00,Eurasian Tree Sparrow,Passer montanus,0.858594536781311,255.0,258.0,3_S7901_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
3,7901,2025-02-04 01:00:00,Eurasian Tree Sparrow,Passer montanus,0.6952714323997498,261.0,264.0,3_S7901_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
1,7899,2025-02-04 01:00:00,House Sparrow,Passer domesticus,0.256144255399704,264.0,267.0,1_S7899_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
3,7901,2025-02-04 01:00:00,Eurasian Tree Sparrow,Passer montanus,0.8671726584434509,264.0,267.0,3_S7901_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
3,7901,2025-02-04 01:00:00,Eurasian Tree Sparrow,Passer montanus,0.8312039375305176,267.0,270.0,3_S7901_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
3,7901,2025-02-04 01:00:00,Eurasian Tree Sparrow,Passer montanus,0.2814095914363861,270.0,273.0,3_S7901_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
3,7901,2025-02-04 01:00:00,Eurasian Tree Sparrow,Passer montanus,0.8241704702377319,273.0,276.0,3_S7901_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
3,7901,2025-02-04 01:00:00,Eurasian Tree Sparrow,Passer montanus,0.7646540403366089,279.0,282.0,3_S7901_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
3,7901,2025-02-04 01:00:00,Eurasian Tree Sparrow,Passer montanus,0.5755479335784912,285.0,288.0,3_S7901_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
3,7901,2025-02-04 01:00:00,Eurasian Tree Sparrow,Passer montanus,0.7546375393867493,288.0,291.0,3_S7901_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
3,7901,2025-02-04 01:00:00,Eurasian Tree Sparrow,Passer montanus,0.5502111911773682,291.0,294.0,3_S7901_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
3,7901,2025-02-04 01:00:00,Eurasian Tree Sparrow,Passer montanus,0.9026160836219788,294.0,297.0,3_S7901_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
3,7901,2025-02-04 01:00:00,Eurasian Tree Sparrow,Passer montanus,0.8278588652610779,297.0,300.0,3_S7901_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
1,7899,2025-02-04 01:00:00,Cattle Egret,Bubulcus ibis,0.25938332080841064,369.0,372.0,1_S7899_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
1,7899,2025-02-04 01:00:00,Cattle Egret,Bubulcus ibis,0.32175448536872864,402.0,405.0,1_S7899_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
1,7899,2025-02-04 01:15:00,Cattle Egret,Bubulcus ibis,0.454728364944458,150.0,153.0,1_S7899_20250204_011500(UTC+7).wav,2025-02-04,1,15,3.0
1,7899,2025-02-04 01:15:00,Cattle Egret,Bubulcus ibis,0.4147922694683075,153.0,156.0,1_S7899_20250204_011500(UTC+7).wav,2025-02-04,1,15,3.0
1,7899,2025-02-04 01:15:00,Cattle Egret,Bubulcus ibis,0.7123510241508484,156.0,159.0,1_S7899_20250204_011500(UTC+7).wav,2025-02-04,1,15,3.0
1,7899,2025-02-04 01:15:00,Cattle Egret,Bubulcus ibis,0.8349565267562866,159.0,162.0,1_S7899_20250204_011500(UTC+7).wav,2025-02-04,1,15,3.0
1,7899,2025-02-04 01:15:00,Cattle Egret,Bubulcus ibis,0.491557240486145,162.0,165.0,1_S7899_20250204_011500(UTC+7).wav,2025-02-04,1,15,3.0
1,7899,2025-02-04 01:15:00,Cattle Egret,Bubulcus ibis,0.47960346937179565,165.0,168.0,1_S7899_20250204_011500(UTC+7).wav,2025-02-04,1,15,3.0
1,7899,2025-02-04 01:15:00,Cattle Egret,Bubulcus ibis,0.5932556390762329,168.0,171.0,1_S7899_20250204_011500(UTC+7).wav,2025-02-04,1,15,3.0
1,7899,2025-02-04 01:15:00,Cattle Egret,Bubulcus ibis,0.47054389119148254,177.0,180.0,1_S7899_20250204_011500(UTC+7).wav,2025-02-04,1,15,3.0
1,7899,2025-02-04 01:15:00,Cattle Egret,Bubulcus ibis,0.5228614211082458,186.0,189.0,1_S7899_20250204_011500(UTC+7).wav,2025-02-04,1,15,3.0
1,7899,2025-02-04 01:15:00,Cattle Egret,Bubulcus ibis,0.5697135329246521,192.0,195.0,1_S7899_20250204_011500(UTC+7).wav,2025-02-04,1,15,3.0
1,7899,2025-02-04 01:15:00,Cattle Egret,Bubulcus ibis,0.4536947011947632,195.0,198.0,1_S7899_20250204_011500(UTC+7).wav,2025-02-04,1,15,3.0
1,7899,2025-02-04 01:15:00,Cattle Egret,Bubulcus ibis,0.7797774076461792,201.0,204.0,1_S7899_20250204_011500(UTC+7).wav,2025-02-04,1,15,3.0
1,7899,2025-02-04 01:15:00,Cattle Egret,Bubulcus ibis,0.44579896330833435,204.0,207.0,1_S7899_20250204_011500(UTC+7).wav,2025-02-04,1,15,3.0
1,7899,2025-02-04 01:15:00,Cattle Egret,Bubulcus ibis,0.5184343457221985,207.0,210.0,1_S7899_20250204_011500(UTC+7).wav,2025-02-04,1,15,3.0
1,7899,2025-02-04 01:15:00,Cattle Egret,Bubulcus ibis,0.6823779344558716,219.0,222.0,1_S7899_20250204_011500(UTC+7).wav,2025-02-04,1,15,3.0
1,7899,2025-02-04 01:15:00,Cattle Egret,Bubulcus ibis,0.8352346420288086,234.0,237.0,1_S7899_20250204_011500(UTC+7).wav,2025-02-04,1,15,3.0
1,7899,2025-02-04 01:15:00,Cattle Egret,Bubulcus ibis,0.6833165287971497,237.0,240.0,1_S7899_20250204_011500(UTC+7).wav,2025-02-04,1,15,3.0
1,7899,2025-02-04 01:15:00,Cattle Egret,Bubulcus ibis,0.3535149395465851,240.0,243.0,1_S7899_20250204_011500(UTC+7).wav,2025-02-04,1,15,3.0
1,7899,2025-02-04 01:15:00,Cattle Egret,Bubulcus ibis,0.28542184829711914,246.0,249.0,1_S7899_20250204_011500(UTC+7).wav,2025-02-04,1,15,3.0
3,7901,2025-02-04 01:15:00,Cattle Egret,Bubulcus ibis,0.46840614080429077,246.0,249.0,3_S7901_20250204_011500(UTC+7).wav,2025-02-04,1,15,3.0
1,7899,2025-02-04 01:15:00,Cattle Egret,Bubulcus ibis,0.411948561668396,249.0,252.0,1_S7899_20250204_011500(UTC+7).wav,2025-02-04,1,15,3.0
1,7899,2025-02-04 01:15:00,Cattle Egret,Bubulcus ibis,0.4455055594444275,252.0,255.0,1_S7899_20250204_011500(UTC+7).wav,2025-02-04,1,15,3.0
1,7899,2025-02-04 01:15:00,Cattle Egret,Bubulcus ibis,0.5223411917686462,258.0,261.0,1_S7899_20250204_011500(UTC+7).wav,2025-02-04,1,15,3.0
1,7899,2025-02-04 01:15:00,Cattle Egret,Bubulcus ibis,0.2552794814109802,357.0,360.0,1_S7899_20250204_011500(UTC+7).wav,2025-02-04,1,15,3.0
3,7901,2025-02-04 01:15:00,Asian Openbill,Anastomus oscitans,0.3357706665992737,390.0,393.0,3_S7901_20250204_011500(UTC+7).wav,2025-02-04,1,15,3.0
3,7901,2025-02-04 01:15:00,Asian Openbill,Anastomus oscitans,0.2693893313407898,564.0,567.0,3_S7901_20250204_011500(UTC+7).wav,2025-02-04,1,15,3.0
1,7899,2025-02-04 01:30:00,Cattle Egret,Bubulcus ibis,0.2847568690776825,186.0,189.0,1_S7899_20250204_013000(UTC+7).wav,2025-02-04,1,30,3.0
3,7901,2025-02-04 01:30:00,Asian Openbill,Anastomus oscitans,0.30079200863838196,294.0,297.0,3_S7901_20250204_013000(UTC+7).wav,2025-02-04,1,30,3.0
1,7899,2025-02-04 01:30:00,Asian Openbill,Anastomus oscitans,0.2516499161720276,405.0,408.0,1_S7899_20250204_013000(UTC+7).wav,2025-02-04,1,30,3.0
1,7899,2025-02-04 01:30:00,Cattle Egret,Bubulcus ibis,0.31962913274765015,468.0,471.0,1_S7899_20250204_013000(UTC+7).wav,2025-02-04,1,30,3.0
3,7901,2025-02-04 01:30:00,Red-billed Blue-Magpie,Urocissa erythroryncha,0.27716362476348877,540.0,543.0,3_S7901_20250204_013000(UTC+7).wav,2025-02-04,1,30,3.0
3,7901,2025-02-04 01:30:00,Red-billed Blue-Magpie,Urocissa erythroryncha,0.26105237007141113,546.0,549.0,3_S7901_20250204_013000(UTC+7).wav,2025-02-04,1,30,3.0
3,7901,2025-02-04 01:30:00,Red-billed Blue-Magpie,Urocissa erythroryncha,0.27226805686950684,552.0,555.0,3_S7901_20250204_013000(UTC+7).wav,2025-02-04,1,30,3.0
1,7899,2025-02-04 01:30:00,Cattle Egret,Bubulcus ibis,0.3054247200489044,585.0,588.0,1_S7899_20250204_013000(UTC+7).wav,2025-02-04,1,30,3.0
3,7901,2025-02-04 01:45:00,Barn Swallow,Hirundo rustica,0.9383690357208252,0.0,3.0,3_S7901_20250204_014500(UTC+7).wav,2025-02-04,1,45,3.0
1,7899,2025-02-04 01:45:00,Cattle Egret,Bubulcus ibis,0.2803029417991638,267.0,270.0,1_S7899_20250204_014500(UTC+7).wav,2025-02-04,1,45,3.0
1,7899,2025-02-04 01:45:00,Cattle Egret,Bubulcus ibis,0.41094380617141724,321.0,324.0,1_S7899_20250204_014500(UTC+7).wav,2025-02-04,1,45,3.0
3,7901,2025-02-04 01:45:00,Eurasian Tree Sparrow,Passer montanus,0.33847492933273315,330.0,333.0,3_S7901_20250204_014500(UTC+7).wav,2025-02-04,1,45,3.0
3,7901,2025-02-04 01:45:00,Eurasian Tree Sparrow,Passer montanus,0.37181684374809265,342.0,345.0,3_S7901_20250204_014500(UTC+7).wav,2025-02-04,1,45,3.0
3,7901,2025-02-04 01:45:00,Eurasian Tree Sparrow,Passer montanus,0.34989145398139954,390.0,393.0,3_S7901_20250204_014500(UTC+7).wav,2025-02-04,1,45,3.0
3,7901,2025-02-04 01:45:00,Eurasian Tree Sparrow,Passer montanus,0.4326309263706207,396.0,399.0,3_S7901_20250204_014500(UTC+7).wav,2025-02-04,1,45,3.0
3,7901,2025-02-04 01:45:00,Eurasian Tree Sparrow,Passer montanus,0.39037564396858215,399.0,402.0,3_S7901_20250204_014500(UTC+7).wav,2025-02-04,1,45,3.0
3,7901,2025-02-04 01:45:00,Eurasian Tree Sparrow,Passer montanus,0.32871562242507935,405.0,408.0,3_S7901_20250204_014500(UTC+7).wav,2025-02-04,1,45,3.0
3,7901,2025-02-04 01:45:00,Eurasian Tree Sparrow,Passer montanus,0.28363457322120667,408.0,411.0,3_S7901_20250204_014500(UTC+7).wav,2025-02-04,1,45,3.0
3,7901,2025-02-04 01:45:00,Eurasian Tree Sparrow,Passer montanus,0.50398188829422,411.0,414.0,3_S7901_20250204_014500(UTC+7).wav,2025-02-04,1,45,3.0
3,7901,2025-02-04 01:45:00,Eurasian Tree Sparrow,Passer montanus,0.3488009572029114,414.0,417.0,3_S7901_20250204_014500(UTC+7).wav,2025-02-04,1,45,3.0
3,7901,2025-02-04 01:45:00,Eurasian Tree Sparrow,Passer montanus,0.3008013367652893,423.0,426.0,3_S7901_20250204_014500(UTC+7).wav,2025-02-04,1,45,3.0
3,7901,2025-02-04 01:45:00,Eurasian Tree Sparrow,Passer montanus,0.25559842586517334,429.0,432.0,3_S7901_20250204_014500(UTC+7).wav,2025-02-04,1,45,3.0
1,7899,2025-02-04 01:45:00,Cattle Egret,Bubulcus ibis,0.2961694598197937,438.0,441.0,1_S7899_20250204_014500(UTC+7).wav,2025-02-04,1,45,3.0
1,7899,2025-02-04 01:45:00,Black-crowned Night-Heron,Nycticorax nycticorax,0.9777088761329651,447.0,450.0,1_S7899_20250204_014500(UTC+7).wav,2025-02-04,1,45,3.0
1,7899,2025-02-04 01:45:00,Cattle Egret,Bubulcus ibis,0.3130033314228058,447.0,450.0,1_S7899_20250204_014500(UTC+7).wav,2025-02-04,1,45,3.0
3,7901,2025-02-04 01:45:00,Black-crowned Night-Heron,Nycticorax nycticorax,0.742760419845581,447.0,450.0,3_S7901_20250204_014500(UTC+7).wav,2025-02-04,1,45,3.0
3,7901,2025-02-04 01:45:00,Eurasian Tree Sparrow,Passer montanus,0.4611295163631439,459.0,462.0,3_S7901_20250204_014500(UTC+7).wav,2025-02-04,1,45,3.0
3,7901,2025-02-04 01:45:00,Eurasian Tree Sparrow,Passer montanus,0.5356389880180359,462.0,465.0,3_S7901_20250204_014500(UTC+7).wav,2025-02-04,1,45,3.0
